commodity_desc,reference_period_desc,year,state_ansi,state_name,county_ansi,county_name,asd_code,asd_desc,domain_desc,source_desc,agg_level_desc,"PRODUCTION, MEASURED IN BU","YIELD, MEASURED IN BU / ACRE"
WHEAT,YEAR,2017,5,ARKANSAS,3,ASHLEY,90,SOUTHEAST,TOTAL,SURVEY,COUNTY,76000.0,63.3
WHEAT,YEAR,2017,5,ARKANSAS,37,CROSS,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,282000.0,65.6
WHEAT,YEAR,2017,5,ARKANSAS,69,JEFFERSON,90,SOUTHEAST,TOTAL,SURVEY,COUNTY,240000.0,44.4
WHEAT,YEAR,2017,5,ARKANSAS,77,LEE,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,225000.0,47.9
WHEAT,YEAR,2017,5,ARKANSAS,79,LINCOLN,90,SOUTHEAST,TOTAL,SURVEY,COUNTY,206000.0,45.8
WHEAT,YEAR,2017,5,ARKANSAS,95,MONROE,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,347000.0,63.1
WHEAT,YEAR,2017,5,ARKANSAS,107,PHILLIPS,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,515000.0,51.5
WHEAT,YEAR,2017,5,ARKANSAS,111,POINSETT,30,NORTHEAST,TOTAL,SURVEY,COUNTY,453000.0,66.6
WHEAT,YEAR,2017,5,ARKANSAS,147,WOODRUFF,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,275000.0,68.8
WHEAT,YEAR,2017,6,CALIFORNIA,11,COLUSA,50,SACRAMENTO VALLEY,TOTAL,SURVEY,COUNTY,350000.0,72.9
WHEAT,YEAR,2017,6,CALIFORNIA,19,FRESNO,51,SAN JOAQUIN VALLEY,TOTAL,SURVEY,COUNTY,1555000.0,55.1
WHEAT,YEAR,2017,6,CALIFORNIA,21,GLENN,50,SACRAMENTO VALLEY,TOTAL,SURVEY,COUNTY,125000.0,44.6
WHEAT,YEAR,2017,6,CALIFORNIA,31,KINGS,51,SAN JOAQUIN VALLEY,TOTAL,SURVEY,COUNTY,930000.0,89.4
WHEAT,YEAR,2017,6,CALIFORNIA,47,MERCED,51,SAN JOAQUIN VALLEY,TOTAL,SURVEY,COUNTY,1397000.0,79.8
WHEAT,YEAR,2017,6,CALIFORNIA,77,SAN JOAQUIN,51,SAN JOAQUIN VALLEY,TOTAL,SURVEY,COUNTY,620000.0,82.7
WHEAT,YEAR,2017,6,CALIFORNIA,95,SOLANO,50,SACRAMENTO VALLEY,TOTAL,SURVEY,COUNTY,624000.0,60.0
WHEAT,YEAR,2017,6,CALIFORNIA,99,STANISLAUS,51,SAN JOAQUIN VALLEY,TOTAL,SURVEY,COUNTY,30000.0,60.0
WHEAT,YEAR,2017,6,CALIFORNIA,107,TULARE,51,SAN JOAQUIN VALLEY,TOTAL,SURVEY,COUNTY,1300000.0,57.8
WHEAT,YEAR,2017,6,CALIFORNIA,113,YOLO,50,SACRAMENTO VALLEY,TOTAL,SURVEY,COUNTY,945000.0,73.8
WHEAT,YEAR,2017,8,COLORADO,1,ADAMS,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,5630000.0,39.0
WHEAT,YEAR,2017,8,COLORADO,5,ARAPAHOE,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,1555000.0,30.7
WHEAT,YEAR,2017,8,COLORADO,39,ELBERT,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,595000.0,31.6
WHEAT,YEAR,2017,8,COLORADO,61,KIOWA,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,6465000.0,36.7
WHEAT,YEAR,2017,8,COLORADO,63,KIT CARSON,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,14710000.0,60.5
WHEAT,YEAR,2017,8,COLORADO,67,LA PLATA,70,SOUTHWEST,TOTAL,SURVEY,COUNTY,44000.0,27.5
WHEAT,YEAR,2017,8,COLORADO,73,LINCOLN,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,4155000.0,36.9
WHEAT,YEAR,2017,8,COLORADO,75,LOGAN,20,NORTHEAST,TOTAL,SURVEY,COUNTY,5005000.0,43.5
WHEAT,YEAR,2017,8,COLORADO,77,MESA,70,SOUTHWEST,TOTAL,SURVEY,COUNTY,205000.0,128.1
WHEAT,YEAR,2017,8,COLORADO,89,OTERO,90,SOUTHEAST,TOTAL,SURVEY,COUNTY,210000.0,63.6
WHEAT,YEAR,2017,8,COLORADO,95,PHILLIPS,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,5440000.0,52.9
WHEAT,YEAR,2017,8,COLORADO,99,PROWERS,90,SOUTHEAST,TOTAL,SURVEY,COUNTY,4534000.0,43.3
WHEAT,YEAR,2017,8,COLORADO,115,SEDGWICK,20,NORTHEAST,TOTAL,SURVEY,COUNTY,3122000.0,49.0
WHEAT,YEAR,2017,8,COLORADO,121,WASHINGTON,60,EAST CENTRAL,TOTAL,SURVEY,COUNTY,9110000.0,39.1
WHEAT,YEAR,2017,16,IDAHO,1,ADA,70,SOUTHWEST,TOTAL,SURVEY,COUNTY,290000.0,131.8
WHEAT,YEAR,2017,16,IDAHO,9,BENEWAH,10,NORTH,TOTAL,SURVEY,COUNTY,1510000.0,68.6
WHEAT,YEAR,2017,16,IDAHO,11,BINGHAM,90,EAST,TOTAL,SURVEY,COUNTY,8777000.0,119.9
WHEAT,YEAR,2017,16,IDAHO,19,BONNEVILLE,90,EAST,TOTAL,SURVEY,COUNTY,1740000.0,73.7
WHEAT,YEAR,2017,16,IDAHO,21,BOUNDARY,10,NORTH,TOTAL,SURVEY,COUNTY,685000.0,85.6
WHEAT,YEAR,2017,16,IDAHO,27,CANYON,70,SOUTHWEST,TOTAL,SURVEY,COUNTY,1934500.0,128.1
WHEAT,YEAR,2017,16,IDAHO,31,CASSIA,80,SOUTH CENTRAL,TOTAL,SURVEY,COUNTY,3587000.0,93.2
WHEAT,YEAR,2017,16,IDAHO,43,FREMONT,90,EAST,TOTAL,SURVEY,COUNTY,550000.0,131.0
WHEAT,YEAR,2017,16,IDAHO,49,IDAHO,10,NORTH,TOTAL,SURVEY,COUNTY,3470000.0,59.8
WHEAT,YEAR,2017,16,IDAHO,57,LATAH,10,NORTH,TOTAL,SURVEY,COUNTY,4488000.0,71.2
WHEAT,YEAR,2017,16,IDAHO,61,LEWIS,10,NORTH,TOTAL,SURVEY,COUNTY,3185000.0,53.1
WHEAT,YEAR,2017,16,IDAHO,67,MINIDOKA,80,SOUTH CENTRAL,TOTAL,SURVEY,COUNTY,698000.0,120.3
WHEAT,YEAR,2017,16,IDAHO,69,NEZ PERCE,10,NORTH,TOTAL,SURVEY,COUNTY,5610000.0,75.7
WHEAT,YEAR,2017,16,IDAHO,73,OWYHEE,70,SOUTHWEST,TOTAL,SURVEY,COUNTY,530000.0,106.0
WHEAT,YEAR,2017,16,IDAHO,75,PAYETTE,70,SOUTHWEST,TOTAL,SURVEY,COUNTY,345000.0,123.2
WHEAT,YEAR,2017,16,IDAHO,77,POWER,90,EAST,TOTAL,SURVEY,COUNTY,4946000.0,78.8
WHEAT,YEAR,2017,16,IDAHO,83,TWIN FALLS,80,SOUTH CENTRAL,TOTAL,SURVEY,COUNTY,1882000.0,131.6
WHEAT,YEAR,2017,17,ILLINOIS,7,BOONE,20,NORTHEAST,TOTAL,SURVEY,COUNTY,94000.0,85.5
WHEAT,YEAR,2017,17,ILLINOIS,9,BROWN,30,WEST,TOTAL,SURVEY,COUNTY,96900.0,80.8
WHEAT,YEAR,2017,17,ILLINOIS,11,BUREAU,10,NORTHWEST,TOTAL,SURVEY,COUNTY,94900.0,90.4
WHEAT,YEAR,2017,17,ILLINOIS,13,CALHOUN,60,WEST SOUTHWEST,TOTAL,SURVEY,COUNTY,75700.0,54.1
WHEAT,YEAR,2017,17,ILLINOIS,17,CASS,60,WEST SOUTHWEST,TOTAL,SURVEY,COUNTY,61600.0,56.0
WHEAT,YEAR,2017,17,ILLINOIS,19,CHAMPAIGN,50,EAST,TOTAL,SURVEY,COUNTY,172000.0,78.2
WHEAT,YEAR,2017,17,ILLINOIS,23,CLARK,70,EAST SOUTHEAST,TOTAL,SURVEY,COUNTY,231000.0,78.3
WHEAT,YEAR,2017,17,ILLINOIS,25,CLAY,70,EAST SOUTHEAST,TOTAL,SURVEY,COUNTY,824000.0,76.3
WHEAT,YEAR,2017,17,ILLINOIS,27,CLINTON,80,SOUTHWEST,TOTAL,SURVEY,COUNTY,1885000.0,74.8
WHEAT,YEAR,2017,17,ILLINOIS,33,CRAWFORD,70,EAST SOUTHEAST,TOTAL,SURVEY,COUNTY,498000.0,73.2
WHEAT,YEAR,2017,17,ILLINOIS,35,CUMBERLAND,70,EAST SOUTHEAST,TOTAL,SURVEY,COUNTY,111000.0,85.4
